<SM 0
3 3221286848 2
3 3221286880 2
3 3221286912 1
3 3221286944 11
3 3221287872 2
3 3221287904 2
3 3221287936 1
3 3221287968 11
3 3221288896 2
3 3221288928 2
3 3221288960 1
3 3221288992 1
3 3221289920 2
3 3221289952 2
3 3221289984 1
3 3221290016 1
3 3221290944 2
3 3221290976 2
3 3221291008 3
3 3221291040 3
3 3221291968 2
3 3221292000 2
3 3221292032 2
3 3221292064 1
3 3221292992 2
3 3221293024 2
3 3221293056 1
3 3221293088 9
3 3221294016 2
3 3221294048 2
3 3221294080 6
3 3221294112 1
3 3221295040 2
3 3221295072 2
3 3221295104 1
3 3221295136 1
3 3221296064 2
3 3221296096 2
3 3221296128 1
3 3221296160 1
3 3221297088 2
3 3221297120 2
3 3221297152 2
3 3221297184 8
3 3221298112 2
3 3221298144 2
3 3221298176 5
3 3221298208 2
3 3221299136 2
3 3221299168 2
3 3221299200 3
3 3221299232 1
3 3221300160 2
3 3221300192 2
3 3221300224 1
3 3221300256 1
3 3221301184 2
3 3221301216 2
3 3221301248 3
3 3221301280 9
3 3221302208 2
3 3221302240 2
3 3221302272 4
3 3221302304 14
3 3221303232 2
3 3221303264 2
3 3221303296 2
3 3221303328 12
3 3221304256 2
3 3221304288 2
3 3221304320 1
3 3221304352 4
3 3221305280 2
3 3221305312 2
3 3221305344 4
3 3221305376 9
3 3221306304 2
3 3221306336 2
3 3221306368 4
3 3221306400 4
3 3221307328 2
3 3221307360 2
3 3221307392 12
3 3221307424 5
3 3221308352 2
3 3221308384 2
3 3221308416 3
3 3221308448 2
3 3221309376 2
3 3221309408 2
3 3221309440 1
3 3221309472 6
3 3221310400 2
3 3221310432 2
3 3221310464 3
3 3221310496 12
3 3221311424 2
3 3221311456 2
3 3221311488 2
3 3221311520 3
3 3221312448 2
3 3221312480 2
3 3221312512 1
3 3221312544 13
3 3221313472 2
3 3221313504 2
3 3221313536 1
3 3221313568 13
3 3221314496 2
3 3221314528 2
3 3221314560 12
3 3221314592 1
3 3221315520 2
3 3221315552 2
3 3221315584 10
3 3221315616 4
3 3221316544 2
3 3221316576 2
3 3221316608 10
3 3221316640 1
3 3221317568 2
3 3221317600 2
3 3221317632 1
3 3221317664 9
3 3221318592 2
3 3221318624 2
3 3221318656 7
3 3221318688 6
3 3221319616 2
3 3221319648 2
3 3221319680 1
3 3221319712 14
3 3221320640 2
3 3221320672 2
3 3221320704 5
3 3221320736 9
3 3221321664 2
3 3221321696 2
3 3221321728 1
3 3221321760 1
3 3221322688 2
3 3221322720 2
3 3221322752 3
3 3221322784 1
3 3221323712 2
3 3221323744 2
3 3221323776 1
3 3221323808 1
3 3221324160 2
3 3221324192 2
3 3221324800 1
3 3221324832 1
3 3221325184 2
3 3221325216 2
3 3221325824 1
3 3221325856 1
3 3221326208 2
3 3221326240 2
3 3221326848 1
3 3221326880 1
3 3221327232 2
3 3221327264 2
3 3221327872 1
3 3221327904 1
3 3221328256 2
3 3221328288 2
3 3221328896 1
3 3221328928 1
3 3221329280 2
3 3221329312 2
3 3221329920 1
3 3221329952 1
3 3221330304 2
3 3221330336 2
3 3221330944 1
3 3221330976 1
3 3221331328 2
3 3221331360 2
3 3221331968 1
3 3221332000 1
3 3221332352 2
3 3221332384 2
3 3221332992 1
3 3221333024 1
3 3221333376 2
3 3221333408 2
3 3221334016 1
3 3221334048 1
3 3221334400 2
3 3221334432 2
3 3221335040 1
3 3221335072 1
3 3221335424 2
3 3221335456 2
3 3221336064 1
3 3221336096 1
3 3221336448 2
3 3221336480 2
3 3221337088 1
3 3221337120 1
3 3221337472 2
3 3221337504 2
3 3221338112 1
3 3221338144 1
3 3221338496 2
3 3221338528 2
3 3221339136 1
3 3221339168 1
3 3221339520 2
3 3221339552 2
3 3221340160 1
3 3221340192 1
3 3221340608 2
3 3221340640 2
3 3221341184 1
3 3221341216 1
3 3221341632 2
3 3221341664 2
3 3221342208 1
3 3221342240 1
3 3221342656 2
3 3221342688 2
3 3221343232 1
3 3221343264 1
3 3221343680 2
3 3221343712 2
3 3221344256 1
3 3221344288 1
3 3221344704 2
3 3221344736 2
3 3221345280 1
3 3221345312 1
3 3221345728 2
3 3221345760 2
3 3221346304 1
3 3221346336 1
3 3221346752 2
3 3221346784 2
3 3221347328 1
3 3221347360 1
3 3221347776 2
3 3221347808 2
3 3221348352 1
3 3221348384 1
3 3221348800 2
3 3221348832 2
3 3221349376 1
3 3221349408 1
3 3221349824 2
3 3221349856 2
3 3221350400 1
3 3221350432 1
3 3221350848 2
3 3221350880 2
3 3221351424 1
3 3221351456 1
3 3221351872 2
3 3221351904 2
3 3221352448 1
3 3221352480 1
3 3221352896 2
3 3221352928 2
3 3221353472 1
3 3221353504 1
3 3221353920 2
3 3221353952 2
3 3221354496 1
3 3221354528 1
3 3221354944 2
3 3221354976 2
3 3221355520 1
3 3221355552 1
3 3221355968 2
3 3221356000 2
3 3221372928 2
3 3221372960 2
3 3221373056 2
3 3221373088 2
3 3221373504 2
3 3221373536 2
3 3221373952 2
3 3221373984 2
3 3221374080 2
3 3221374112 2
3 3221374528 2
3 3221374560 2
3 3221374976 2
3 3221375008 2
3 3221375104 2
3 3221375136 2
3 3221375552 2
3 3221375584 2
3 3221376000 2
3 3221376032 2
3 3221376128 2
3 3221376160 2
3 3221376576 2
3 3221376608 2
3 3221377024 2
3 3221377056 2
3 3221377152 2
3 3221377184 2
3 3221377600 2
3 3221377632 2
3 3221378048 2
3 3221378080 2
3 3221378176 2
3 3221378208 2
3 3221378624 2
3 3221378656 2
3 3221379072 2
3 3221379104 2
3 3221379200 2
3 3221379232 2
3 3221379648 2
3 3221379680 2
3 3221380096 2
3 3221380128 2
3 3221380224 2
3 3221380256 2
3 3221380672 2
3 3221380704 2
3 3221381120 2
3 3221381152 2
3 3221381248 2
3 3221381280 2
3 3221381696 2
3 3221381728 2
3 3221382144 2
3 3221382176 2
3 3221382272 2
3 3221382304 2
3 3221382720 2
3 3221382752 2
3 3221383168 2
3 3221383200 2
3 3221383296 2
3 3221383328 2
3 3221383744 2
3 3221383776 2
3 3221384192 2
3 3221384224 2
3 3221384320 2
3 3221384352 2
3 3221384768 2
3 3221384800 2
3 3221385216 2
3 3221385248 2
3 3221385344 2
3 3221385376 2
3 3221385792 2
3 3221385824 2
3 3221386240 2
3 3221386272 2
3 3221386368 2
3 3221386400 2
3 3221386816 2
3 3221386848 2
3 3221387264 2
3 3221387296 2
3 3221387392 2
3 3221387424 2
3 3221387840 2
3 3221387872 2
3 3221388288 2
3 3221388320 2
3 3221388416 2
3 3221388448 2
3 3221388864 2
3 3221388896 2
3 3221389312 1
3 3221389344 1
3 3221389504 2
3 3221389536 2
3 3221390336 1
3 3221390368 1
3 3221390528 2
3 3221390560 2
3 3221391360 1
3 3221391392 1
3 3221391552 2
3 3221391584 2
3 3221392384 1
3 3221392416 1
3 3221392576 2
3 3221392608 2
3 3221393408 1
3 3221393440 1
3 3221393600 2
3 3221393632 2
3 3221394432 1
3 3221394464 1
3 3221394624 2
3 3221394656 2
3 3221395456 1
3 3221395488 1
3 3221395648 2
3 3221395680 2
3 3221396480 1
3 3221396512 1
3 3221396672 2
3 3221396704 2
3 3221397504 1
3 3221397536 1
3 3221397696 2
3 3221397728 2
3 3221398528 1
3 3221398560 1
3 3221398720 2
3 3221398752 2
3 3221399552 1
3 3221399584 1
3 3221399744 2
3 3221399776 2
3 3221400576 1
3 3221400608 1
3 3221400768 2
3 3221400800 2
3 3221401600 1
3 3221401632 1
3 3221401792 2
3 3221401824 2
3 3221402624 1
3 3221402656 1
3 3221402816 2
3 3221402848 2
3 3221403648 1
3 3221403680 1
3 3221403840 2
3 3221403872 2
3 3221404672 1
3 3221404704 1
3 3221404864 2
3 3221404896 2
3 3221405696 1
3 3221405728 1
3 3221406208 2
3 3221406240 2
3 3221406720 1
3 3221406752 1
3 3221407232 2
3 3221407264 2
3 3221407744 1
3 3221407776 1
3 3221408256 2
3 3221408288 2
3 3221408768 1
3 3221408800 1
3 3221409280 2
3 3221409312 2
3 3221409792 1
3 3221409824 1
3 3221410304 2
3 3221410336 2
3 3221410816 1
3 3221410848 1
3 3221411328 2
3 3221411360 2
3 3221411840 1
3 3221411872 1
3 3221412352 2
3 3221412384 2
3 3221412864 1
3 3221412896 1
3 3221413376 2
3 3221413408 2
3 3221413888 1
3 3221413920 1
3 3221414400 2
3 3221414432 2
3 3221414912 1
3 3221414944 1
3 3221415424 2
3 3221415456 2
3 3221415936 1
3 3221415968 1
3 3221416448 2
3 3221416480 2
3 3221416960 1
3 3221416992 1
3 3221417472 2
3 3221417504 2
3 3221417984 1
3 3221418016 1
3 3221418496 2
3 3221418528 2
3 3221419008 1
3 3221419040 1
3 3221419520 2
3 3221419552 2
3 3221420032 1
3 3221420064 1
3 3221420544 2
3 3221420576 2
3 3221421056 1
3 3221421088 1
3 3221421568 2
3 3221421600 2
3 3221422080 1
3 3221422112 1
3 3221422720 2
3 3221422752 2
3 3221423104 1
3 3221423136 1
3 3221423744 2
3 3221423776 2
3 3221424128 1
3 3221424160 1
3 3221424768 2
3 3221424800 2
3 3221425152 1
3 3221425184 1
3 3221425792 2
3 3221425824 2
3 3221426176 1
3 3221426208 1
3 3221426816 2
3 3221426848 2
3 3221427200 1
3 3221427232 1
3 3221427840 2
3 3221427872 2
3 3221428224 1
3 3221428256 1
3 3221428864 2
3 3221428896 2
3 3221429248 1
3 3221429280 1
3 3221429888 2
3 3221429920 2
3 3221430272 1
3 3221430304 1
3 3221430912 2
3 3221430944 2
3 3221431296 1
3 3221431328 1
3 3221431936 2
3 3221431968 2
3 3221432320 1
3 3221432352 1
3 3221432960 2
3 3221432992 2
3 3221433344 1
3 3221433376 1
3 3221433984 2
3 3221434016 2
3 3221434368 1
3 3221434400 1
3 3221435008 2
3 3221435040 2
3 3221435392 1
3 3221435424 1
3 3221436032 2
3 3221436064 2
3 3221436416 1
3 3221436448 1
3 3221437056 2
3 3221437088 2
3 3221437440 1
3 3221437472 1
3 3221438080 2
3 3221438112 2
3 3221438464 1
3 3221438496 1
3 3221439232 2
3 3221439264 2
3 3221439488 1
3 3221439520 1
3 3221440256 2
3 3221440288 2
3 3221440512 1
3 3221440544 1
3 3221441280 2
3 3221441312 2
3 3221441536 1
3 3221441568 1
3 3221442304 2
3 3221442336 2
3 3221442560 1
3 3221442592 1
3 3221443328 2
3 3221443360 2
3 3221443584 1
3 3221443616 1
3 3221444352 2
3 3221444384 2
3 3221444608 1
3 3221444640 1
3 3221445376 2
3 3221445408 2
3 3221445632 1
3 3221445664 1
3 3221446400 2
3 3221446432 2
3 3221446656 1
3 3221446688 1
3 3221447424 2
3 3221447456 2
3 3221447680 1
3 3221447712 1
3 3221448448 2
3 3221448480 2
3 3221448704 1
3 3221448736 1
3 3221449472 2
3 3221449504 2
3 3221449728 1
3 3221449760 1
3 3221450496 2
3 3221450528 2
3 3221450752 1
3 3221450784 1
3 3221451520 2
3 3221451552 2
3 3221451776 1
3 3221451808 1
3 3221452544 2
3 3221452576 2
3 3221452800 1
3 3221452832 1
3 3221453568 2
3 3221453600 2
3 3221453824 1
3 3221453856 1
3 3221454592 2
3 3221454624 2
3 3221454848 1
3 3221454880 1
3 3221455744 2
3 3221455776 2
3 3221455872 1
3 3221455904 1
3 3221456768 2
3 3221456800 2
3 3221456896 1
3 3221456928 1
3 3221457792 2
3 3221457824 2
3 3221457920 1
3 3221457952 1
3 3221458816 2
3 3221458848 2
3 3221458944 1
3 3221458976 1
3 3221459840 2
3 3221459872 2
3 3221459968 1
3 3221460000 1
3 3221460864 2
3 3221460896 2
3 3221460992 1
3 3221461024 1
3 3221461888 2
3 3221461920 2
3 3221462016 1
3 3221462048 1
3 3221462912 2
3 3221462944 2
3 3221463040 1
3 3221463072 1
3 3221463936 2
3 3221463968 2
3 3221464064 1
3 3221464096 1
3 3221464960 2
3 3221464992 2
3 3221465088 1
3 3221465120 1
3 3221465984 2
3 3221466016 2
3 3221466112 1
3 3221466144 1
3 3221467008 2
3 3221467040 2
3 3221467136 1
3 3221467168 1
3 3221468032 2
3 3221468064 2
3 3221468160 1
3 3221468192 1
3 3221469056 2
3 3221469088 2
3 3221469184 1
3 3221469216 1
3 3221470080 2
3 3221470112 2
3 3221470208 1
3 3221470240 1
3 3221471104 2
3 3221471136 2
3 3221471232 1
3 3221471264 1
3 3221472128 2
3 3221472160 2
3 3221472256 1
3 3221472288 1
3 3221473152 2
3 3221473184 2
3 3221473280 1
3 3221473312 1
3 3221474176 2
3 3221474208 2
3 3221474304 1
3 3221474336 1
3 3221475200 2
3 3221475232 2
3 3221475328 1
3 3221475360 1
3 3221476224 2
3 3221476256 2
3 3221476352 1
3 3221476384 1
3 3221477248 2
3 3221477280 2
3 3221477376 1
3 3221477408 1
3 3221478272 2
3 3221478304 2
3 3221478400 1
3 3221478432 1
3 3221479296 2
3 3221479328 2
3 3221479424 1
3 3221479456 1
3 3221480320 2
3 3221480352 2
3 3221480448 1
3 3221480480 1
3 3221481344 2
3 3221481376 2
3 3221481472 1
3 3221481504 1
3 3221482368 2
3 3221482400 2
3 3221482496 1
3 3221482528 1
3 3221483392 2
3 3221483424 2
3 3221483520 1
3 3221483552 1
3 3221484416 2
3 3221484448 2
3 3221484544 1
3 3221484576 1
3 3221485440 2
3 3221485472 2
3 3221485568 1
3 3221485600 1
3 3221486464 2
3 3221486496 2
3 3221486592 1
3 3221486624 1
3 3221487488 2
3 3221487520 2
5 3221241920 1
5 3221241952 1
5 3221241984 1
5 3221242016 1
5 3221242944 1
5 3221242976 1
5 3221243008 2
5 3221243040 2
5 3221243968 1
5 3221244000 1
5 3221244032 2
5 3221244064 2
5 3221244992 1
5 3221245024 1
5 3221245056 2
5 3221245088 2
5 3221246016 1
5 3221246048 1
5 3221246080 2
5 3221246112 2
5 3221247040 1
5 3221247072 1
5 3221247104 2
5 3221247136 2
5 3221248064 1
5 3221248096 1
5 3221248128 2
5 3221248160 2
5 3221249088 1
5 3221249120 1
5 3221249152 2
5 3221249184 2
5 3221250112 1
5 3221250144 1
5 3221250176 2
5 3221250208 2
5 3221251136 1
5 3221251168 1
5 3221251200 2
5 3221251232 2
5 3221252160 1
5 3221252192 1
5 3221252224 2
5 3221252256 2
5 3221253184 1
5 3221253216 1
5 3221253248 2
5 3221253280 2
5 3221254208 1
5 3221254240 1
5 3221254272 2
5 3221254304 2
5 3221255232 1
5 3221255264 1
5 3221255296 2
5 3221255328 2
5 3221256256 1
5 3221256288 1
5 3221256320 2
5 3221256352 2
5 3221257280 1
5 3221257312 1
5 3221257344 2
5 3221257376 2
5 3221258304 2
5 3221258336 2
5 3221259328 2
5 3221259360 2
5 3221260352 2
5 3221260384 2
5 3221261376 2
5 3221261408 2
5 3221262400 2
5 3221262432 2
5 3221263424 2
5 3221263456 2
5 3221264448 2
5 3221264480 2
5 3221265472 2
5 3221265504 2
5 3221266496 2
5 3221266528 2
5 3221267520 2
5 3221267552 2
5 3221268544 2
5 3221268576 2
5 3221269568 2
5 3221269600 2
5 3221270592 2
5 3221270624 2
5 3221271616 2
5 3221271648 2
5 3221272640 2
5 3221272672 2
5 3221273664 2
5 3221273696 2
6 3221242048 1
6 3221242080 1
6 3221242112 3
6 3221242144 3
6 3221242176 2
6 3221242208 2
6 3221242240 3
6 3221242272 3
6 3221242304 1
6 3221242336 1
6 3221242368 1
6 3221242400 1
6 3221242752 1
6 3221242784 1
6 3221242816 1
6 3221242848 1
6 3221243072 1
6 3221243104 1
6 3221243136 3
6 3221243168 3
6 3221243200 2
6 3221243232 2
6 3221243264 3
6 3221243296 3
6 3221243328 1
6 3221243360 1
6 3221243392 1
6 3221243424 1
6 3221243776 1
6 3221243808 1
6 3221243840 1
6 3221243872 1
6 3221244096 1
6 3221244128 1
6 3221244160 3
6 3221244192 3
6 3221244224 2
6 3221244256 2
6 3221244288 3
6 3221244320 3
6 3221244352 1
6 3221244384 1
6 3221244416 1
6 3221244448 1
6 3221244800 1
6 3221244832 1
6 3221244864 1
6 3221244896 1
6 3221245120 1
6 3221245152 1
6 3221245184 3
6 3221245216 3
6 3221245248 2
6 3221245280 2
6 3221245312 3
6 3221245344 3
6 3221245376 1
6 3221245408 1
6 3221245440 1
6 3221245472 1
6 3221245824 1
6 3221245856 1
6 3221245888 1
6 3221245920 1
6 3221246144 1
6 3221246176 1
6 3221246208 3
6 3221246240 3
6 3221246272 2
6 3221246304 2
6 3221246336 3
6 3221246368 3
6 3221246400 1
6 3221246432 1
6 3221246464 1
6 3221246496 1
6 3221246848 1
6 3221246880 1
6 3221246912 1
6 3221246944 1
6 3221247168 1
6 3221247200 1
